"1","Financial Year","30-04-2013","30-04-2014","30-04-2015","30-04-2016","30-04-2017","30-04-2018","30-04-2019","30-04-2020","31-01-2021       TTM","31-01-2021       TTM"
"2","Sales/Revenue","1,064,348.70","1,450,790.00","1,830,443.00","2,095,391.00","1,659,997.00","1,992,868.00","2,519,862.00","1,755,406.00","1,942,448.00","1,942,448.00"
"3","Pretax Income","69,223.28","179,775.00","298,971.00","278,257.00","175,158.00","197,067.00","340,565.00","131,980.00","92,631.00","92,631.00"
"4","Net Income","50,860.52","130,622.00","212,374.00","197,629.00","117,648.00","139,975.00","264,039.00","100,840.00","69,904.00","69,904.00"
"5","Cash & Short-Term Investments","268,065.41","186,224.00","280,770.00","371,557.00","244,770.00","306,769.00","320,166.00","100,220.00","349,494.00","349,494.00"
"6","Total Accounts Receivables","47,041.04","50,171.00","98,243.00","88,570.00","88,012.00","89,094.00","83,342.00","90,502.00","131,230.00","131,230.00"
"7","Inventories","193,779.83","288,057.00","218,449.00","312,275.00","434,658.00","247,382.00","283,976.00","684,644.00","406,332.50","406,332.50"
"8","Net Property, Plant & Equipment","20,338.11","20,372.00","23,586.00","24,020.00","23,453.00","19,805.00","27,148.00","109,169.00","103,866.25","103,866.25"
"9","Accrued Payable","-","-","-","-","-","-","-","-","235,170.00","235,170.00"
"10","Short Term Debt","126,575.44","-","-","-","58,880.00","46,065.00","-","146,791.00","181,945.00","181,945.00"
"11","Long Term Debt","2,441.00","-","-","-","-","-","-","65,067.00","86,955.50","86,955.50"
"12","Net Operating Cash Flow","53,059.09","85,047.00","222,570.00","244,375.00","22,019.00","200,211.00","248,923.00","(147,222.00)","322,628.00","322,628.00"
"13","Capital Expenditures","(14,201.76)","(5,529.00)","(8,794.00)","(6,354.00)","(2,028.00)","(1,950.00)","(14,606.00)","(15,292.00)","(4,723.00)","(4,723.00)"
"14","Total Shares Outstanding (million)","1,180,055.00","1,130,059.22","1,138,921.17","1,145,272.00","1,152,055.00","1,159,264.00","1,159,741.00","1,162,180.00","1,161,427.99","1,159,264.00"
