"1","Financial Year","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-12-2019","31-12-2020"
"2","Sales/Revenue","345,637.00","373,796.00","407,307.00","467,392.00","392,245.00","2,097.00","81,711.00","87,287.00","116,566.00","143,959.00"
"3","Pretax Income","12,982.00","(25,145.00)","(9,504.00)","(1,064.00)","34,069.00","(19,316.00)","28,628.00","(24,373.00)","(29,525.00)","44,901.00"
"4","Net Income","125,769.00","42,477.00","4,708.00","16,742.00","24,630.00","263,307.00","25,136.00","(27,457.00)","(31,217.00)","39,789.00"
"5","Cash Only","10,725.00","11,889.00","181,840.00","342,268.00","357,245.00","157,074.00","141,226.00","251,132.00","247,245.00","110,462.00"
"6","Net Property, Plant & Equipment","10,373.00","23,886.00","21,843.00","17,297.00","14,575.00","3,686.00","4,612.00","4,105.00","23,671.00","29,403.00"
"7","Long Term Debt","-","-","-","-","-","-","-","-","13,718.00","14,131.00"
"8","Net Operating Cash Flow","82,406.00","(21,555.00)","16,910.00","100,826.00","64,165.00","29,938.00","(2,139.00)","(39,576.00)","69,234.00","(38,415.00)"
"9","Capital Expenditures","(6,910.00)","(17,409.00)","(3,208.00)","(1,782.00)","(1,681.00)","(969.00)","(784.00)","(534.00)","(3,400.00)","(6,202.00)"
"10","Total Shares Outstanding (million)","304,354.00","304,354.00","304,354.00","302,329.00","292,184.00","273,518.00","304,354.00","304,354.00","304,354.00","263,732.25"
